id,code,name,active,status,model_node_name,glb_node_name,old_x,old_z,current_x,current_z,delta
7ede72a6-6436-11f1-9da2-d843ae05cb18,DQI-DII,DPTO. DE ING. QUÍMICA - DPTO. ING. INDUSTRIAL,true,matched,Depto_Quimica_Bioquimica_Depto_Ing_Industrial,Depto_Quimica_Bioquimica_Depto_Ing_Industrial,26,-127,106.8369,-92.356,87.9478
a374c992-3f3a-11f1-b497-d843ae05cb18,E,EDIF. E,true,matched,Edificio_E,Edificio_E,12.0946,95.3105,-3.2243,74.7988,25.6008
75a94357-52ec-11f1-a7fc-d843ae05cb18,ENIE,Aulas ENIE,false,matched,Aula_Ñ,Aula_Ñ,54,-107,116.7182,-75.4928,70.1874
7ede742d-6436-11f1-9da2-d843ae05cb18,EXTRA,EXTRAESCOLARES,true,matched,Extra_escolares,Extra_escolares,95.9161,-4.2166,93.8987,43.3742,47.6335
a374c9a4-3f3a-11f1-b497-d843ae05cb18,F,EDIF. F,true,matched,Edificio_F,Edificio_F,9.7073,118.4428,-17.3545,95.7133,35.3408
75a946e3-52ec-11f1-a7fc-d843ae05cb18,FQ,LAB. DE FÍSICO QUÍMICA,true,matched,Laboratorio_Fisico_Quimica,Laboratorio_Fisico_Quimica,-22,-18,16.2681,-18.1562,38.2684
a374c9b6-3f3a-11f1-b497-d843ae05cb18,G,EDIF. G,true,matched,Edificio_G,Edificio_G,8.4006,150.592,-31.5576,112.3083,55.338
75a9492b-52ec-11f1-a7fc-d843ae05cb18,GEO,Geolocalización,false,missing-node,Contenido de geolocalización,,,,,,
a374ca1b-3f3a-11f1-b497-d843ae05cb18,GIM,GIMNASIO,true,matched,Gimnacio,Gimnacio,61.2421,17.1434,56.6284,43.2168,26.4785
a374c957-3f3a-11f1-b497-d843ae05cb18,H,EDIF. H,true,matched,Edificio_H_Servicio_Medico,Edificio_H_Servicio_Medico,-44.2055,122.9823,-53.8696,79.0223,45.0097
a374c96b-3f3a-11f1-b497-d843ae05cb18,I,EDIF. I,true,matched,Edificio_I,Edificio_I,-59.7816,172.2834,-83.214,125.3034,52.4995
a374c97e-3f3a-11f1-b497-d843ae05cb18,J,Edificio J,false,missing-node,Edificio J,,,,,,
a374ca70-3f3a-11f1-b497-d843ae05cb18,K,EDIF. K - BAÑOS,true,matched,Edificio_K,Edificio_K,47.8697,148.8787,-2.2033,129.4134,53.7234
75a92791-52ec-11f1-a7fc-d843ae05cb18,L,Edificio L,true,matched,Edificio_L,Edificio_L,22,-18,42.9656,2.4637,29.2971
75a950bd-52ec-11f1-a7fc-d843ae05cb18,LAB-CIV,LAB. ING. CIVIL,true,matched,Lab_Ing_Civil,Lab_Ing_Civil,20,-95,55.9127,-47.0509,59.9069
75a94e80-52ec-11f1-a7fc-d843ae05cb18,LAB-ELE,LAB. ING. ELÉCTRICA,true,matched,Lab_Ing_Electrica,Lab_Ing_Electrica,-72,-116,20.0459,-109.5484,92.2717
